word,count
side.,4
climbed,4
warm,4
suppose,4
"says,",4
frozen,4
year's,4
meserve,4
moment,4
cole,4
fred,4
store,4
talks,4
"""it",4
boys,4
"meserve,",4
blown,4
"window,",4
buried,4
"wanted,",4
taken,4
brown,4
wild,4
clerk,4
